
Check Type,Current Price,SMA Short,SMA Long,RSI
Executing strategy,94975.380000
94975.380000,36.605655,94951.677658
94975.380000,36.605655,96604.243342
94975.380000,36.605655,94951.677658
HOLD,94975.380000,0.000000,1000.000000
Executing strategy,96683.290000
96683.290000,55.738395,95319.700496
96683.290000,55.738395,97142.091504
96683.290000,55.738395,95319.700496
HOLD,96683.290000,0.000000,1000.000000
Executing strategy,97684.230000
97684.230000,55.864164,97357.803261
97684.230000,55.864164,97816.499739
97684.230000,55.864164,97357.803261
HOLD,97684.230000,0.000000,1000.000000
Executing strategy,96411.950000
96411.950000,46.497946,95694.632512
96411.950000,46.497946,97137.844488
96411.950000,46.497946,95694.632512
HOLD,96411.950000,0.000000,1000.000000
Executing strategy,95289.330000
95289.330000,47.511040,93852.589879
95289.330000,47.511040,96622.755121
95289.330000,47.511040,93852.589879
HOLD,95289.330000,0.000000,1000.000000
Executing strategy,98089.460000
98089.460000,63.587771,96372.388721
98089.460000,63.587771,98492.064279
98089.460000,63.587771,96372.388721
HOLD,98089.460000,0.000000,1000.000000
Executing strategy,96566.030000
96566.030000,46.356077,95278.937330
96566.030000,46.356077,97133.177670
96566.030000,46.356077,95278.937330
HOLD,96566.030000,0.000000,1000.000000
Executing strategy,95727.390000
95727.390000,45.671659,95229.817863
95727.390000,45.671659,96341.054137
95727.390000,45.671659,95229.817863
HOLD,95727.390000,0.000000,1000.000000
Executing strategy,88821.000000
88821.000000,40.821880,85542.375144
88821.000000,40.821880,92816.056856
88821.000000,40.821880,85542.375144
HOLD,88821.000000,0.000000,1000.000000
Executing strategy,86117.570000
86117.570000,48.523112,83386.934030
86117.570000,48.523112,87294.550970
86117.570000,48.523112,83386.934030
HOLD,86117.570000,0.000000,1000.000000
Executing strategy,85588.190000
85588.190000,62.191864,80180.116051
85588.190000,62.191864,87179.904949
85588.190000,62.191864,80180.116051
HOLD,85588.190000,0.000000,1000.000000
Executing strategy,94298.000000
94298.000000,78.984673,81104.030736
94298.000000,78.984673,95306.542264
94298.000000,78.984673,81104.030736
HOLD,94298.000000,0.000000,1000.000000
Executing strategy,82804.000000
82804.000000,30.019278,81992.897210
82804.000000,30.019278,87135.644790
82804.000000,30.019278,81992.897210
HOLD,82804.000000,0.000000,1000.000000
Executing strategy,92737.980000
92737.980000,75.252881,87975.842920
92737.980000,75.252881,92623.111080
92737.980000,75.252881,87975.842920
HOLD,92737.980000,0.000000,1000.000000
Executing strategy,86314.630000
86314.630000,37.780294,86236.827438
86314.630000,37.780294,90153.982562
86314.630000,37.780294,86236.827438
HOLD,86314.630000,0.000000,1000.000000
Executing strategy,83489.950000
83489.950000,18.220888,84296.023330
83489.950000,18.220888,87244.926670
83489.950000,18.220888,84296.023330
HOLD,83489.950000,0.000000,1000.000000
Executing strategy,80261.780000
80261.780000,49.362524,76618.812100
80261.780000,49.362524,83120.782900
80261.780000,49.362524,76618.812100
HOLD,80261.780000,0.000000,1000.000000
Executing strategy,83093.690000
83093.690000,57.329070,81143.695514
83093.690000,57.329070,83726.903486
83093.690000,57.329070,81143.695514
HOLD,83093.690000,0.000000,1000.000000
Executing strategy,83602.160000
83602.160000,65.936727,79978.188968
83602.160000,65.936727,83916.946032
83602.160000,65.936727,79978.188968
HOLD,83602.160000,0.000000,1000.000000
Executing strategy,84395.310000
84395.310000,56.198732,83899.761946
84395.310000,56.198732,84612.567054
84395.310000,56.198732,83899.761946
HOLD,84395.310000,0.000000,1000.000000
Executing strategy,84077.800000
84077.800000,55.098415,82661.801178
84077.800000,55.098415,84504.208822
84077.800000,55.098415,82661.801178
HOLD,84077.800000,0.000000,1000.000000
Executing strategy,84092.160000
84092.160000,63.784186,81735.893182
84092.160000,63.784186,84240.914818
84092.160000,63.784186,81735.893182
HOLD,84092.160000,0.000000,1000.000000
Executing strategy,84469.660000
84469.660000,47.550913,83469.137895
84469.660000,47.550913,85864.553105
84469.660000,47.550913,83469.137895
HOLD,84469.660000,0.000000,1000.000000
Executing strategy,84010.870000
84010.870000,44.412557,83962.356294
84010.870000,44.412557,84462.141706
84010.870000,44.412557,83962.356294
HOLD,84010.870000,0.000000,1000.000000
Executing strategy,87187.990000
87187.990000,64.656856,84490.185318
87187.990000,64.656856,88312.485682
87187.990000,64.656856,84490.185318
HOLD,87187.990000,0.000000,1000.000000
FINAL PROFIT,0.000000,25
