
Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,84558.830000,84488.220000,84509.356000,70.000000
HOLD,84558.830000,0.000000,1000.000000
BUY_CHECK,84662.740000,84721.302000,84688.627000,70.000000
HOLD,84662.740000,0.000000,1000.000000
BUY_CHECK,83916.940000,84029.042000,83952.964000,70.000000
HOLD,83916.940000,0.000000,1000.000000
BUY_CHECK,83973.580000,83989.120000,84057.937000,70.000000
HOLD,83973.580000,0.000000,1000.000000
BUY_CHECK,84240.330000,84092.166000,84058.888000,70.000000
BUY,84240.330000,0.011871,0.000000
SELL_CHECK,84035.010000,84006.726000,84240.330000,70.000000
SELL,84035.010000,0.0,997.562688,-2.437312
BUY_CHECK,84471.210000,84406.382000,84320.228000,70.000000
BUY,84471.210000,0.011809,-0.000000
SELL_CHECK,84206.240000,84194.124000,84471.210000,70.000000
SELL,84206.240000,0.0,994.433525,-3.129163
BUY_CHECK,84318.000000,84288.186000,84266.446000,70.000000
BUY,84318.000000,0.011794,0.000000
SELL_CHECK,84322.310000,84333.804000,84318.000000,70.000000
SELL,84322.310000,0.0,994.484356,0.050831
BUY_CHECK,84413.620000,84410.660000,84399.800000,70.000000
BUY,84413.620000,0.011781,0.000000
SELL_CHECK,84157.720000,84159.630000,84413.620000,70.000000
SELL,84157.720000,0.0,991.469575,-3.014781
BUY_CHECK,84169.350000,84171.434000,84156.726000,70.000000
BUY,84169.350000,0.011779,0.000000
SELL_CHECK,83944.690000,84092.946000,84169.350000,70.000000
SELL,83944.690000,0.0,988.823202,-2.646374
BUY_CHECK,83936.970000,83879.322000,83832.903000,70.000000
BUY,83936.970000,0.011781,0.000000
SELL_CHECK,84173.920000,84185.904000,83936.970000,70.000000
SELL,84173.920000,0.0,991.614602,2.791400
BUY_CHECK,84242.240000,84256.374000,84240.131000,70.000000
HOLD,84242.240000,0.000000,991.614602
BUY_CHECK,84343.920000,84326.322000,84337.393000,70.000000
HOLD,84343.920000,0.000000,991.614602
BUY_CHECK,84885.880000,84933.982000,84821.586000,70.000000
HOLD,84885.880000,0.000000,991.614602
BUY_CHECK,85250.000000,85180.058000,85209.433000,70.000000
HOLD,85250.000000,0.000000,991.614602
