
Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,84614.170000,84535.752000,84483.521000,70.000000
BUY,84614.170000,0.011818,-0.000000
SELL_CHECK,83972.730000,84044.116000,84614.170000,70.000000
SELL,83972.730000,0.0,992.419237,-7.580763
BUY_CHECK,84200.860000,84079.140000,84110.981000,70.000000
HOLD,84200.860000,0.000000,992.419237
BUY_CHECK,83762.420000,83841.936000,83730.611000,70.000000
HOLD,83762.420000,0.000000,992.419237
BUY_CHECK,83787.230000,83852.440000,83918.614000,70.000000
HOLD,83787.230000,0.000000,992.419237
BUY_CHECK,84187.440000,84133.262000,84047.617000,70.000000
BUY,84187.440000,0.011788,0.000000
SELL_CHECK,84078.590000,84081.796000,84187.440000,70.000000
SELL,84078.590000,0.0,991.136090,-1.283147
BUY_CHECK,84226.570000,84220.402000,84201.228000,70.000000
BUY,84226.570000,0.011767,0.000000
SELL_CHECK,84354.580000,84278.268000,84226.570000,70.000000
HOLD,84354.580000,0.011767,0.000000
SELL_CHECK,84363.560000,84385.716000,84226.570000,70.000000
SELL,84363.560000,0.0,992.748120,1.612030
BUY_CHECK,84104.490000,84153.096000,84187.948000,70.000000
HOLD,84104.490000,0.000000,992.748120
BUY_CHECK,84141.010000,84124.772000,84118.978000,70.000000
HOLD,84141.010000,0.000000,992.748120
BUY_CHECK,84199.330000,84175.092000,84194.349000,70.000000
HOLD,84199.330000,0.000000,992.748120
BUY_CHECK,83814.380000,83886.136000,83915.230000,70.000000
HOLD,83814.380000,0.000000,992.748120
BUY_CHECK,84269.230000,84231.648000,84144.736000,70.000000
BUY,84269.230000,0.011781,0.000000
SELL_CHECK,84201.580000,84214.028000,84269.230000,70.000000
SELL,84201.580000,0.0,991.951157,-0.796962
BUY_CHECK,84351.510000,84337.572000,84342.258000,70.000000
HOLD,84351.510000,0.000000,991.951157
BUY_CHECK,84732.450000,84759.630000,84712.790000,70.000000
HOLD,84732.450000,0.000000,991.951157
BUY_CHECK,85307.520000,85178.488000,85154.571000,70.000000
BUY,85307.520000,0.011628,0.000000
SELL_CHECK,84987.450000,85011.938000,85307.520000,70.000000
SELL,84987.450000,0.0,988.229401,-3.721756
BUY_CHECK,85351.790000,85397.988000,85438.133000,70.000000
HOLD,85351.790000,0.000000,988.229401
BUY_CHECK,85713.440000,85657.526000,85650.259000,70.000000
HOLD,85713.440000,0.000000,988.229401
BUY_CHECK,86836.420000,86913.178000,86900.793000,70.000000
HOLD,86836.420000,0.000000,988.229401
BUY_CHECK,87493.200000,87396.376000,87322.778000,70.000000
BUY,87493.200000,0.011295,0.000000
SELL_CHECK,87669.190000,87630.720000,87493.200000,70.000000
HOLD,87669.190000,0.011295,0.000000
FINAL PROFIT,-11.770599

Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,95982.970000,96108.674000,95917.361000,70.000000
HOLD,95982.970000,0.000000,1000.000000
BUY_CHECK,96750.000000,96737.710000,96508.837000,70.000000
BUY,96750.000000,0.010336,0.000000
SELL_CHECK,97539.400000,97511.552000,96750.000000,70.000000
HOLD,97539.400000,0.010336,0.000000
SELL_CHECK,96457.760000,96187.480000,96750.000000,70.000000
SELL,96457.760000,0.0,996.979432,-3.020568
BUY_CHECK,95213.850000,95513.202000,95190.780000,70.000000
HOLD,95213.850000,0.000000,996.979432
BUY_CHECK,98453.610000,98135.434000,97674.632000,70.000000
BUY,98453.610000,0.010126,0.000000
SELL_CHECK,96823.940000,96523.570000,98453.610000,70.000000
SELL,96823.940000,0.0,980.476761,-16.502670
BUY_CHECK,95298.000000,95755.830000,95811.322000,70.000000
HOLD,95298.000000,0.000000,980.476761
BUY_CHECK,88161.030000,87579.668000,87974.833000,70.000000
HOLD,88161.030000,0.000000,980.476761
BUY_CHECK,86330.590000,86458.186000,86110.016000,70.000000
HOLD,86330.590000,0.000000,980.476761
BUY_CHECK,86190.010000,85055.232000,84667.571000,70.000000
BUY,86190.010000,0.011376,0.000000
SELL_CHECK,94330.000000,93187.988000,86190.010000,70.000000
HOLD,94330.000000,0.011376,0.000000
SELL_CHECK,83763.730000,83862.938000,86190.010000,70.000000
SELL,83763.730000,0.0,952.875985,-27.600776
BUY_CHECK,92287.450000,91361.598000,90849.064000,70.000000
BUY,92287.450000,0.010325,0.000000
SELL_CHECK,86987.720000,87664.102000,92287.450000,70.000000
SELL,86987.720000,0.0,898.155810,-54.720175
BUY_CHECK,84599.990000,85164.820000,85594.217000,70.000000
HOLD,84599.990000,0.000000,898.155810
BUY_CHECK,79759.910000,79088.198000,79147.084000,70.000000
HOLD,79759.910000,0.000000,898.155810
BUY_CHECK,83124.950000,82496.946000,82551.914000,70.000000
HOLD,83124.950000,0.000000,898.155810
BUY_CHECK,83420.870000,83017.236000,82527.401000,70.000000
BUY,83420.870000,0.010767,0.000000
SELL_CHECK,84408.970000,84166.038000,83420.870000,70.000000
HOLD,84408.970000,0.010767,0.000000
SELL_CHECK,83954.360000,84115.962000,83420.870000,70.000000
SELL,83954.360000,0.0,903.899662,5.743852
BUY_CHECK,83748.750000,83607.588000,83365.997000,70.000000
BUY,83748.750000,0.010793,0.000000
SELL_CHECK,84662.740000,84616.448000,83748.750000,70.000000
HOLD,84662.740000,0.010793,0.000000
SELL_CHECK,83944.690000,84147.050000,83748.750000,70.000000
SELL,83944.690000,0.0,906.014441,2.114779
BUY_CHECK,87486.030000,87511.380000,87181.842000,70.000000
HOLD,87486.030000,0.000000,906.014441
FINAL PROFIT,-93.985559
